,IC objective only_IC
0,-1289.468350582995
1,-1289.468350582995
2,-1289.468350582995
3,-1289.468350582995
4,-1289.468350582995
5,-1289.468350582995
6,-1289.468350582995
7,-1289.468350582995
8,-1289.468350582995
9,-1289.468350582995
10,-1289.468350582995
11,-1289.468350582995
12,-1289.468350582995
13,-1289.468350582995
14,-1289.468350582995
15,-1289.468350582995
16,-1289.468350582995
17,-1289.468350582995
18,-1289.468350582995
19,-1289.468350582995
20,-1289.468350582995
21,-1289.468350582995
22,-1289.468350582995
23,-1289.468350582995
24,-1289.468350582995
25,-1289.468350582995
26,-1289.468350582995
27,-1289.468350582995
28,-1289.468350582995
29,-1289.468350582995
30,-1289.468350582995
31,-1289.468350582995
32,-1289.468350582995
33,-1289.468350582995
34,-1289.468350582995
35,-1289.468350582995
36,-1289.468350582995
37,-1289.468350582995
38,-1289.468350582995
39,-1289.468350582995
40,-1289.468350582995
41,-1289.468350582995
42,-1289.468350582995
43,-1289.468350582995
44,-1289.468350582995
45,-1289.468350582995
46,-1289.468350582995
47,-1289.468350582995
48,-1289.468350582995
49,-1289.468350582995
50,-1289.468350582995
51,-1289.468350582995
52,-1289.468350582995
53,-1289.468350582995
54,-1289.468350582995
55,-1289.468350582995
56,-1289.468350582995
57,-1289.468350582995
58,-1289.468350582995
59,-1289.468350582995
60,-1289.468350582995
61,-1289.468350582995
62,-1289.468350582995
63,-1289.468350582995
64,-1289.468350582995
65,-1289.468350582995
66,-1289.468350582995
67,-1289.468350582995
68,-1289.468350582995
69,-1289.468350582995
70,-1289.468350582995
71,-1289.468350582995
72,-1289.468350582995
73,-1289.468350582995
74,-1289.468350582995
75,-1289.468350582995
76,-1289.468350582995
77,-1289.468350582995
78,-1289.468350582995
79,-1289.468350582995
80,-1289.468350582995
81,-1289.468350582995
82,-1289.468350582995
83,-1289.468350582995
84,-1289.468350582995
85,-1289.468350582995
86,-1289.468350582995
87,-1289.468350582995
88,-1289.468350582995
89,-1289.468350582995
90,-1289.468350582995
91,-1289.468350582995
92,-1289.468350582995
93,-1289.468350582995
94,-1289.468350582995
95,-1289.468350582995
96,-1289.468350582995
97,-1289.468350582995
98,-1289.468350582995
99,-1289.468350582995
100,-1289.468350582995
101,-1289.468350582995
102,-1289.468350582995
103,-1289.468350582995
104,-1289.468350582995
105,-1289.468350582995
106,-1289.468350582995
107,-1289.468350582995
108,-1289.468350582995
109,-1289.468350582995
110,-1289.468350582995
111,-1289.468350582995
112,-1289.468350582995
113,-1289.468350582995
114,-1289.468350582995
115,-1289.468350582995
116,-1289.468350582995
117,-1289.468350582995
118,-1289.468350582995
119,-1289.468350582995
120,-1289.468350582995
121,-1289.468350582995
122,-1289.468350582995
123,-1289.468350582995
124,-1289.468350582995
125,-1289.468350582995
126,-1289.468350582995
127,-1289.468350582995
128,-1289.468350582995
129,-1289.468350582995
130,-1289.468350582995
131,-1289.468350582995
132,-1289.468350582995
133,-1289.468350582995
134,-1289.468350582995
135,-1289.468350582995
136,-1289.468350582995
137,-1289.468350582995
138,-1289.468350582995
139,-1289.468350582995
140,-1289.468350582995
141,-1289.468350582995
142,-1289.468350582995
143,-1289.468350582995
144,-1289.468350582995
145,-1289.468350582995
146,-1289.468350582995
147,-1289.468350582995
148,-1289.468350582995
149,-1289.468350582995
150,-1289.468350582995
151,-1289.468350582995
152,-1289.468350582995
153,-1289.468350582995
154,-1289.468350582995
155,-1289.468350582995
156,-1289.468350582995
157,-1289.468350582995
158,-1289.468350582995
159,-1289.468350582995
160,-1289.468350582995
161,-1289.468350582995
162,-1289.468350582995
163,-1289.468350582995
164,-1289.468350582995
165,-1289.468350582995
166,-1289.468350582995
167,-1289.468350582995
168,-1289.468350582995
169,-1289.468350582995
170,-1289.468350582995
171,-1289.468350582995
172,-1289.468350582995
173,-1289.468350582995
174,-1289.468350582995
175,-1289.468350582995
176,-1289.468350582995
177,-1289.468350582995
178,-1289.468350582995
179,-1289.468350582995
180,-1289.468350582995
181,-1289.468350582995
182,-1289.468350582995
183,-1289.468350582995
184,-1289.468350582995
185,-1289.468350582995
186,-1289.468350582995
187,-1289.468350582995
188,-1289.468350582995
189,-1289.468350582995
190,-1289.468350582995
191,-1289.468350582995
192,-1289.468350582995
193,-1289.468350582995
194,-1289.468350582995
195,-1289.468350582995
196,-1289.468350582995
197,-1289.468350582995
198,-1289.468350582995
199,-1289.468350582995
200,-1289.468350582995
201,-1289.468350582995
202,-1289.468350582995
203,-1289.468350582995
204,-1289.468350582995
205,-1289.468350582995
206,-1289.468350582995
207,-1289.468350582995
208,-1289.468350582995
209,-1289.468350582995
210,-1289.468350582995
211,-1289.468350582995
212,-1289.468350582995
213,-1289.468350582995
214,-1289.468350582995
215,-1289.468350582995
216,-1289.468350582995
217,-1289.468350582995
218,-1289.468350582995
219,-1289.468350582995
220,-1289.468350582995
221,-1289.468350582995
222,-1289.468350582995
223,-1289.468350582995
224,-1289.468350582995
225,-1289.468350582995
226,-1289.468350582995
227,-1289.468350582995
228,-1289.468350582995
229,-1289.468350582995
230,-1289.468350582995
231,-1289.468350582995
232,-1289.468350582995
233,-1289.468350582995
234,-1289.468350582995
235,-1289.468350582995
236,-1289.468350582995
237,-1289.468350582995
238,-1289.468350582995
239,-1289.468350582995
240,-1289.468350582995
241,-1289.468350582995
242,-1289.468350582995
243,-1289.468350582995
244,-1289.468350582995
245,-1289.468350582995
246,-1289.468350582995
247,-1289.468350582995
248,-1289.468350582995
249,-1289.468350582995
250,-1289.468350582995
251,-1289.468350582995
252,-1289.468350582995
253,-1289.468350582995
254,-1289.468350582995
255,-1289.468350582995
256,-1289.468350582995
257,-1289.468350582995
258,-1289.468350582995
259,-1289.468350582995
260,-1289.468350582995
261,-1289.468350582995
262,-1289.468350582995
263,-1289.468350582995
264,-1289.468350582995
265,-1289.468350582995
266,-1289.468350582995
267,-1289.468350582995
268,-1289.468350582995
269,-1289.468350582995
270,-1289.468350582995
271,-1289.468350582995
272,-1289.468350582995
273,-1289.468350582995
274,-1289.468350582995
275,-1289.468350582995
276,-1289.468350582995
277,-1289.468350582995
278,-1289.468350582995
279,-1289.468350582995
280,-1289.468350582995
281,-1289.468350582995
282,-1289.468350582995
283,-1289.468350582995
284,-1289.468350582995
285,-1289.468350582995
286,-1289.468350582995
287,-1289.468350582995
288,-1289.468350582995
289,-1289.468350582995
290,-1289.468350582995
291,-1289.468350582995
292,-1289.468350582995
293,-1289.468350582995
294,-1289.468350582995
295,-1289.468350582995
296,-1289.468350582995
297,-1289.468350582995
298,-1289.468350582995
299,-1289.468350582995
300,-1289.468350582995
301,-1289.468350582995
302,-1289.468350582995
303,-1289.468350582995
304,-1289.468350582995
305,-1289.468350582995
306,-1289.468350582995
307,-1289.468350582995
308,-1289.468350582995
309,-1289.468350582995
310,-1289.468350582995
311,-1289.468350582995
312,-1289.468350582995
313,-1289.468350582995
314,-1289.468350582995
315,-1289.468350582995
316,-1289.468350582995
317,-1289.468350582995
318,-1289.468350582995
319,-1289.468350582995
320,-1289.468350582995
321,-1289.468350582995
322,-1289.468350582995
323,-1289.468350582995
324,-1289.468350582995
325,-1289.468350582995
326,-1289.468350582995
327,-1289.468350582995
328,-1289.468350582995
329,-1289.468350582995
330,-1289.468350582995
331,-1289.468350582995
332,-1289.468350582995
333,-1289.468350582995
334,-1289.468350582995
335,-1289.468350582995
336,-1289.468350582995
337,-1289.468350582995
338,-1289.468350582995
339,-1289.468350582995
340,-1289.468350582995
341,-1289.468350582995
342,-1289.468350582995
343,-1289.468350582995
344,-1289.468350582995
345,-1289.468350582995
346,-1289.468350582995
347,-1289.468350582995
348,-1289.468350582995
349,-1289.468350582995
350,-1289.468350582995
351,-1289.468350582995
352,-1289.468350582995
353,-1289.468350582995
354,-1289.468350582995
355,-1289.468350582995
356,-1289.468350582995
357,-1289.468350582995
358,-1289.468350582995
359,-1289.468350582995
360,-1289.468350582995
361,-1289.468350582995
362,-1289.468350582995
363,-1289.468350582995
364,-1289.468350582995
365,-1289.468350582995
366,-1289.468350582995
367,-1289.468350582995
368,-1289.468350582995
369,-1289.468350582995
370,-1289.468350582995
371,-1289.468350582995
372,-1289.468350582995
373,-1289.468350582995
374,-1289.468350582995
375,-1289.468350582995
376,-1289.468350582995
377,-1289.468350582995
378,-1289.468350582995
379,-1289.468350582995
380,-1289.468350582995
381,-1289.468350582995
382,-1289.468350582995
383,-1289.468350582995
384,-1289.468350582995
385,-1289.468350582995
386,-1289.468350582995
387,-1289.468350582995
388,-1289.468350582995
389,-1289.468350582995
390,-1289.468350582995
391,-1289.468350582995
392,-1289.468350582995
393,-1289.468350582995
394,-1289.468350582995
395,-1289.468350582995
396,-1289.468350582995
397,-1289.468350582995
398,-1289.468350582995
399,-1289.468350582995
400,-1289.468350582995
401,-1289.468350582995
402,-1289.468350582995
403,-1289.468350582995
404,-1289.468350582995
405,-1289.468350582995
406,-1289.468350582995
407,-1289.468350582995
408,-1289.468350582995
409,-1289.468350582995
410,-1289.468350582995
411,-1289.468350582995
412,-1289.468350582995
413,-1289.468350582995
414,-1289.468350582995
415,-1289.468350582995
416,-1289.468350582995
417,-1289.468350582995
418,-1289.468350582995
419,-1289.468350582995
420,-1289.468350582995
421,-1289.468350582995
422,-1289.468350582995
423,-1289.468350582995
424,-1289.468350582995
425,-1289.468350582995
426,-1289.468350582995
427,-1289.468350582995
428,-1289.468350582995
429,-1289.468350582995
430,-1289.468350582995
431,-1289.468350582995
432,-1289.468350582995
433,-1289.468350582995
434,-1289.468350582995
435,-1289.468350582995
436,-1289.468350582995
437,-1289.468350582995
438,-1289.468350582995
439,-1289.468350582995
440,-1289.468350582995
441,-1289.468350582995
442,-1289.468350582995
443,-1289.468350582995
444,-1289.468350582995
445,-1289.468350582995
446,-1289.468350582995
447,-1289.468350582995
448,-1289.468350582995
449,-1289.468350582995
450,-1289.468350582995
451,-1289.468350582995
452,-1289.468350582995
453,-1289.468350582995
454,-1289.468350582995
455,-1289.468350582995
456,-1289.468350582995
457,-1289.468350582995
458,-1289.468350582995
459,-1289.468350582995
460,-1289.468350582995
461,-1289.468350582995
462,-1289.468350582995
463,-1289.468350582995
464,-1289.468350582995
465,-1289.468350582995
466,-1289.468350582995
467,-1289.468350582995
468,-1289.468350582995
469,-1289.468350582995
470,-1289.468350582995
471,-1289.468350582995
472,-1289.468350582995
473,-1289.468350582995
474,-1289.468350582995
475,-1289.468350582995
476,-1289.468350582995
477,-1289.468350582995
478,-1289.468350582995
479,-1289.468350582995
480,-1289.468350582995
481,-1289.468350582995
482,-1289.468350582995
483,-1289.468350582995
484,-1289.468350582995
485,-1289.468350582995
486,-1289.468350582995
487,-1289.468350582995
488,-1289.468350582995
489,-1289.468350582995
490,-1289.468350582995
491,-1289.468350582995
492,-1289.468350582995
493,-1289.468350582995
494,-1289.468350582995
495,-1289.468350582995
496,-1289.468350582995
497,-1289.468350582995
498,-1289.468350582995
499,-1289.468350582995
500,-1289.468350582995
501,-1289.468350582995
502,-1289.468350582995
503,-1289.468350582995
504,-1289.468350582995
505,-1289.468350582995
506,-1289.468350582995
507,-1289.468350582995
508,-1289.468350582995
509,-1289.468350582995
510,-1289.468350582995
511,-1289.468350582995
512,-1289.468350582995
513,-1289.468350582995
514,-1289.468350582995
515,-1289.468350582995
516,-1289.468350582995
517,-1289.468350582995
518,-1289.468350582995
519,-1289.468350582995
520,-1289.468350582995
521,-1289.468350582995
522,-1289.468350582995
523,-1289.468350582995
524,-1289.468350582995
525,-1289.468350582995
526,-1289.468350582995
527,-1289.468350582995
528,-1289.468350582995
529,-1289.468350582995
530,-1289.468350582995
531,-1289.468350582995
532,-1289.468350582995
533,-1289.468350582995
534,-1289.468350582995
535,-1289.468350582995
536,-1289.468350582995
537,-1289.468350582995
538,-1289.468350582995
539,-1289.468350582995
540,-1289.468350582995
541,-1289.468350582995
542,-1289.468350582995
543,-1289.468350582995
544,-1289.468350582995
545,-1289.468350582995
546,-1289.468350582995
547,-1289.468350582995
548,-1289.468350582995
549,-1289.468350582995
550,-1289.468350582995
551,-1289.468350582995
552,-1289.468350582995
553,-1289.468350582995
554,-1289.468350582995
555,-1289.468350582995
556,-1289.468350582995
557,-1289.468350582995
558,-1289.468350582995
559,-1289.468350582995
560,-1289.468350582995
561,-1289.468350582995
562,-1289.468350582995
563,-1289.468350582995
564,-1289.468350582995
565,-1289.468350582995
566,-1289.468350582995
567,-1289.468350582995
568,-1289.468350582995
569,-1289.468350582995
570,-1289.468350582995
571,-1289.468350582995
572,-1289.468350582995
573,-1289.468350582995
574,-1289.468350582995
575,-1289.468350582995
576,-1289.468350582995
577,-1289.468350582995
578,-1289.468350582995
579,-1289.468350582995
580,-1289.468350582995
581,-1289.468350582995
582,-1289.468350582995
583,-1289.468350582995
584,-1289.468350582995
585,-1289.468350582995
586,-1289.468350582995
587,-1289.468350582995
588,-1289.468350582995
589,-1289.468350582995
590,-1289.468350582995
591,-1289.468350582995
592,-1289.468350582995
593,-1289.468350582995
594,-1289.468350582995
595,-1289.468350582995
596,-1289.468350582995
597,-1289.468350582995
598,-1289.468350582995
599,-1289.468350582995
600,-1289.468350582995
601,-1289.468350582995
602,-1289.468350582995
603,-1289.468350582995
604,-1289.468350582995
605,-1289.468350582995
606,-1289.468350582995
607,-1289.468350582995
608,-1289.468350582995
609,-1289.468350582995
610,-1289.468350582995
611,-1289.468350582995
612,-1289.468350582995
613,-1289.468350582995
614,-1289.468350582995
615,-1289.468350582995
616,-1289.468350582995
617,-1289.468350582995
618,-1289.468350582995
619,-1289.468350582995
620,-1289.468350582995
621,-1289.468350582995
622,-1289.468350582995
623,-1289.468350582995
624,-1289.468350582995
625,-1289.468350582995
626,-1289.468350582995
627,-1289.468350582995
628,-1289.468350582995
629,-1289.468350582995
630,-1289.468350582995
631,-1289.468350582995
632,-1289.468350582995
633,-1289.468350582995
634,-1289.468350582995
635,-1289.468350582995
636,-1289.468350582995
637,-1289.468350582995
638,-1289.468350582995
639,-1289.468350582995
640,-1289.468350582995
641,-1289.468350582995
642,-1289.468350582995
643,-1289.468350582995
644,-1289.468350582995
645,-1289.468350582995
646,-1289.468350582995
647,-1289.468350582995
648,-1289.468350582995
649,-1289.468350582995
650,-1289.468350582995
651,-1289.468350582995
652,-1289.468350582995
653,-1289.468350582995
654,-1289.468350582995
655,-1289.468350582995
656,-1289.468350582995
657,-1289.468350582995
658,-1289.468350582995
659,-1289.468350582995
660,-1289.468350582995
661,-1289.468350582995
662,-1289.468350582995
663,-1289.468350582995
664,-1289.468350582995
665,-1289.468350582995
666,-1289.468350582995
667,-1289.468350582995
668,-1289.468350582995
669,-1289.468350582995
670,-1289.468350582995
671,-1289.468350582995
672,-1289.468350582995
673,-1289.468350582995
674,-1289.468350582995
675,-1289.468350582995
676,-1289.468350582995
677,-1289.468350582995
678,-1289.468350582995
679,-1289.468350582995
680,-1289.468350582995
681,-1289.468350582995
682,-1289.468350582995
683,-1289.468350582995
684,-1289.468350582995
685,-1289.468350582995
686,-1289.468350582995
687,-1289.468350582995
688,-1289.468350582995
689,-1289.468350582995
690,-1289.468350582995
691,-1289.468350582995
692,-1289.468350582995
693,-1289.468350582995
694,-1289.468350582995
695,-1289.468350582995
696,-1289.468350582995
697,-1289.468350582995
698,-1289.468350582995
699,-1289.468350582995
700,-1289.468350582995
701,-1289.468350582995
702,-1289.468350582995
703,-1289.468350582995
704,-1289.468350582995
705,-1289.468350582995
706,-1289.468350582995
707,-1289.468350582995
708,-1289.468350582995
709,-1289.468350582995
710,-1289.468350582995
711,-1289.468350582995
712,-1289.468350582995
713,-1289.468350582995
714,-1289.468350582995
715,-1289.468350582995
716,-1289.468350582995
717,-1289.468350582995
718,-1289.468350582995
719,-1289.468350582995
720,-1289.468350582995
721,-1289.468350582995
722,-1289.468350582995
723,-1289.468350582995
724,-1289.468350582995
725,-1289.468350582995
726,-1289.468350582995
727,-1289.468350582995
728,-1289.468350582995
729,-1289.468350582995
730,-1289.468350582995
731,-1289.468350582995
732,-1289.468350582995
733,-1289.468350582995
734,-1289.468350582995
735,-1289.468350582995
736,-1289.468350582995
737,-1289.468350582995
738,-1289.468350582995
739,-1289.468350582995
740,-1289.468350582995
741,-1289.468350582995
742,-1289.468350582995
743,-1289.468350582995
744,-1289.468350582995
745,-1289.468350582995
746,-1289.468350582995
747,-1289.468350582995
748,-1289.468350582995
749,-1289.468350582995
750,-1289.468350582995
751,-1289.468350582995
752,-1289.468350582995
753,-1289.468350582995
754,-1289.468350582995
755,-1289.468350582995
756,-1289.468350582995
757,-1289.468350582995
758,-1289.468350582995
759,-1289.468350582995
760,-1289.468350582995
761,-1289.468350582995
762,-1289.468350582995
763,-1289.468350582995
764,-1289.468350582995
765,-1289.468350582995
766,-1289.468350582995
767,-1289.468350582995
768,-1289.468350582995
769,-1289.468350582995
770,-1289.468350582995
771,-1289.468350582995
772,-1289.468350582995
773,-1289.468350582995
774,-1289.468350582995
775,-1289.468350582995
776,-1289.468350582995
777,-1289.468350582995
778,-1289.468350582995
779,-1289.468350582995
780,-1289.468350582995
781,-1289.468350582995
782,-1289.468350582995
783,-1289.468350582995
784,-1289.468350582995
785,-1289.468350582995
786,-1289.468350582995
787,-1289.468350582995
788,-1289.468350582995
789,-1289.468350582995
790,-1289.468350582995
791,-1289.468350582995
792,-1289.468350582995
793,-1289.468350582995
794,-1289.468350582995
795,-1289.468350582995
796,-1289.468350582995
797,-1289.468350582995
798,-1289.468350582995
799,-1289.468350582995
800,-1289.468350582995
801,-1289.468350582995
802,-1289.468350582995
803,-1289.468350582995
804,-1289.468350582995
805,-1289.468350582995
806,-1289.468350582995
807,-1289.468350582995
808,-1289.468350582995
809,-1289.468350582995
810,-1289.468350582995
811,-1289.468350582995
812,-1289.468350582995
813,-1289.468350582995
814,-1289.468350582995
815,-1289.468350582995
816,-1289.468350582995
817,-1289.468350582995
818,-1289.468350582995
819,-1289.468350582995
820,-1289.468350582995
821,-1289.468350582995
822,-1289.468350582995
823,-1289.468350582995
824,-1289.468350582995
825,-1289.468350582995
826,-1289.468350582995
827,-1289.468350582995
828,-1289.468350582995
829,-1289.468350582995
830,-1289.468350582995
831,-1289.468350582995
832,-1289.468350582995
833,-1289.468350582995
834,-1289.468350582995
835,-1289.468350582995
836,-1289.468350582995
837,-1289.468350582995
838,-1289.468350582995
839,-1289.468350582995
840,-1289.468350582995
841,-1289.468350582995
842,-1289.468350582995
843,-1289.468350582995
844,-1289.468350582995
845,-1289.468350582995
846,-1289.468350582995
847,-1289.468350582995
848,-1289.468350582995
849,-1289.468350582995
850,-1289.468350582995
851,-1289.468350582995
852,-1289.468350582995
853,-1289.468350582995
854,-1289.468350582995
855,-1289.468350582995
856,-1289.468350582995
857,-1289.468350582995
858,-1289.468350582995
859,-1289.468350582995
860,-1289.468350582995
861,-1289.468350582995
862,-1289.468350582995
863,-1289.468350582995
864,-1289.468350582995
865,-1289.468350582995
866,-1289.468350582995
867,-1289.468350582995
868,-1289.468350582995
869,-1289.468350582995
870,-1289.468350582995
871,-1289.468350582995
872,-1289.468350582995
873,-1289.468350582995
874,-1289.468350582995
875,-1289.468350582995
876,-1289.468350582995
877,-1289.468350582995
878,-1289.468350582995
879,-1289.468350582995
880,-1289.468350582995
881,-1289.468350582995
882,-1289.468350582995
883,-1289.468350582995
884,-1289.468350582995
885,-1289.468350582995
886,-1289.468350582995
887,-1289.468350582995
888,-1289.468350582995
889,-1289.468350582995
890,-1289.468350582995
891,-1289.468350582995
892,-1289.468350582995
893,-1289.468350582995
894,-1289.468350582995
895,-1289.468350582995
896,-1289.468350582995
897,-1289.468350582995
898,-1289.468350582995
899,-1289.468350582995
900,-1289.468350582995
901,-1289.468350582995
902,-1289.468350582995
903,-1289.468350582995
904,-1289.468350582995
905,-1289.468350582995
906,-1289.468350582995
907,-1289.468350582995
908,-1289.468350582995
909,-1289.468350582995
910,-1289.468350582995
911,-1289.468350582995
912,-1289.468350582995
913,-1289.468350582995
914,-1289.468350582995
915,-1289.468350582995
916,-1289.468350582995
917,-1289.468350582995
918,-1289.468350582995
919,-1289.468350582995
920,-1289.468350582995
921,-1289.468350582995
922,-1289.468350582995
923,-1289.468350582995
924,-1289.468350582995
925,-1289.468350582995
926,-1289.468350582995
927,-1289.468350582995
928,-1289.468350582995
929,-1289.468350582995
930,-1289.468350582995
931,-1289.468350582995
932,-1289.468350582995
933,-1289.468350582995
934,-1289.468350582995
935,-1289.468350582995
936,-1289.468350582995
937,-1289.468350582995
938,-1289.468350582995
939,-1289.468350582995
940,-1289.468350582995
941,-1289.468350582995
942,-1289.468350582995
943,-1289.468350582995
944,-1289.468350582995
945,-1289.468350582995
946,-1289.468350582995
947,-1289.468350582995
948,-1289.468350582995
949,-1289.468350582995
950,-1289.468350582995
951,-1289.468350582995
952,-1289.468350582995
953,-1289.468350582995
954,-1289.468350582995
955,-1289.468350582995
956,-1289.468350582995
957,-1289.468350582995
958,-1289.468350582995
959,-1289.468350582995
960,-1289.468350582995
961,-1289.468350582995
962,-1289.468350582995
963,-1289.468350582995
964,-1289.468350582995
965,-1289.468350582995
966,-1289.468350582995
967,-1289.468350582995
968,-1289.468350582995
969,-1289.468350582995
970,-1289.468350582995
971,-1289.468350582995
972,-1289.468350582995
973,-1289.468350582995
974,-1289.468350582995
975,-1289.468350582995
976,-1289.468350582995
977,-1289.468350582995
978,-1289.468350582995
979,-1289.468350582995
980,-1289.468350582995
981,-1289.468350582995
982,-1289.468350582995
983,-1289.468350582995
984,-1289.468350582995
985,-1289.468350582995
986,-1289.468350582995
987,-1289.468350582995
988,-1289.468350582995
989,-1289.468350582995
990,-1289.468350582995
991,-1289.468350582995
992,-1289.468350582995
993,-1289.468350582995
994,-1289.468350582995
995,-1289.468350582995
996,-1289.468350582995
997,-1289.468350582995
998,-1289.468350582995
999,-1289.468350582995
1000,-1289.468350582995
1001,-1289.468350582995
1002,-1289.468350582995
1003,-1289.468350582995
1004,-1289.468350582995
1005,-1289.468350582995
1006,-1289.468350582995
1007,-1289.468350582995
1008,-1289.468350582995
1009,-1289.468350582995
1010,-1289.468350582995
1011,-1289.468350582995
1012,-1289.468350582995
1013,-1289.468350582995
1014,-1289.468350582995
1015,-1289.468350582995
1016,-1289.468350582995
1017,-1289.468350582995
1018,-1289.468350582995
1019,-1289.468350582995
1020,-1289.468350582995
1021,-1289.468350582995
